product_name,brand,proteins
Tofoo Naked Xl,The Tofoo Co.,12.375
Les Tranches Végé Haricots Blancs,FLEURY MICHON,8.1
Chipos végétales aux herbes de Provence,HappyVore,12.0
Tesco No Added Sugar or Salt Swiss Style Muesli,Tesco,10.5
Queso fresco cottage,Hacendado,14.0
Mature Cheddar,Cathedral City,25.4
High Protein Granola Honey & Seed,Crownfield,11.2
Blanc de poulet 100% filet,Fleury Michon,21.0
Original Salted Peanuts,KP,30.0
Wholegrain Bran Flakes,By sainsbury's,12.2
Wholegrain Malties,Sainsbury's,11.3
Blanc de Poulet  - 25% de Sel*,Fleury Michon,21.0
Tartines craquantes Froment,Maître Jean Pierre,11.7
Tofu fumé,Bjorg,16.0
80% cacao noir,Carrefour,10.0
Fraise Framboise,"Hipro, Hipro drinks, Danone",8.4
Knusper Müsli Schoko,"Crownfield, Lidl",10.9
Crunchy Peanut Butter,Meridian,26.0
Original Breadsticks,Savour Bakes,10.0
Peanut Delight,nākd,12.0
Camembert,Le Rustique,21.0
Biscottes aux céréales et aux graines,Maître Jean Pierre,14.0
Pain grillé Pelletier,"LU, Pelletier",12.0
Seeded,Hovis,10.7
Rosemary & Sea Salt Sourdough Crackers,Peter’s Yard,11.0
Fromage Produit laitiers,LA VACHE QUI RIT,11.5
Nachos,Hacendado,8.2
Nuggets Végétaux et Gourmands,HappyVore,9.0
"Granola Coconut, Cashew & Almond",Crownfield,9.3
Dark chocolate 75%,Marks & Spencer,9.4
Cacahuètes - grillées & salées,Alesto,24.4
Masło orzechowe,Sante,24.0
White Tortilla Wraps,Tesco,8.2
TAM thon entier a l'huile,tam,25.8
Pechuga de Pavo Cocida 92%,Hacendado,19.5
Chocolate negro 99% cacao,Hacendado,15.0
Sojasauce,Kikkoman,10.0
NESTLE CHOCAPIC Céréales 750g,Nestlé,8.8
Fromage blanc 0%,Lidl Envia,8.5
chocapic,"Nestlé, Chocapic",8.5
Thins Multi-Seed Flatbreads,Ryvita,16.4
Fine milled oatcakes,Nairn's,10.9
JBEN CHERGUI,Chergui,8.4
Crêpes de Landerneau,Le Ster,8.2
Chocolat noir Pérou 90%,Alter Eco,8.1
Dorset cereals nutty muesli,Dorset cereals,13.2
Original Oatcakes,Nairn’s,11.2
Wholewheat biscuits,By Sainsbury's,12.0
0% fat Greek yoghurt,Milbona,8.3
Muesli aux fruits,Bjorg,11.0
Parmigiano Reggiano Revet Fersk Parmesan DOP 60g,OLUF LORENTZEN AS,32.0
"Le petit suisse gervais nature 9,5 % 60 g x 12","DANONE, Gervais, Gervais suisse nature 145165",9.3
Pain au lait bio x12 420g,la boulangère,9.4
Super smooth porridge imp,"Ready break, Weetabix",12.0
Protein Salted Caramel Nut,Nature Valley,26.0
FUEL10K Protein Boosted Chunky Chocolate Granola imp,Fuel,15.8
Tortillas de avena 51%,HACENDADO,15.0
Chocolate For Change Single Origin 85% Cocoa Dark Chocolate,Coop,8.8
80% Dark Chocolate,Sainsbury's,9.4
Salakis 100% Brebis,"Lactalis, Salakis",15.7
Carré gourmand Tomates et mozzarella,Garden Gourmet,9.8
Filets de Maquereaux au Vin Blanc,Saupiquet,12.0
Pan de Molde 100% Integral,Hacendado,11.0
Galleta ligera sin sal y sin azúcar,Gullon,9.0
bio organic oat flakes,Crownfield,14.2
Peanut Butter,Whole Earth,26.3
Sesame Crispbread with a naturally nutty flavour,"Rivercote, Lidl",12.3
Porridge Oats,Tesco - The Grower's Harvest,11.0
Paahdettu maapähkinä,Alesto,24.7
Bovril Beef and Yeast Extract,"Morrisons,Unilever",37.0
Pizza,Crosta&Mollica,22.89
Pâte à tartiner bio noisette cacao,Lucien Georgelin,8.6
"RICORE au Lait, Café & Chicorée, Boîte 400g","Nestlé, Ricore",15.0
Chocolat noir 80% Équateur intense et floral,Ethiquable,9.9
Filet de maquereaux au naturel,Saupiquet,18.0
Chocolate negro 85% cacao,Hacendado,12.0
High Protein Granola Nuts & Seeds,Lizi's,13.5
Wholemeal tortilla wraps,Tesco,9.0
Noir 86% Extra intense,"Côte d'Or, Mondelēz",8.5
Tartare Ail & Fines herbes,"Savencia, Tartare",9.0
Dunkle Schokolade mit ganzen Haselnüssen,"Fin Carré, Lidl",8.6
Stem ginger oat biscuits,Nairn's,8.1
Oregano Crostini Italian Bread Bites,Crosta & Mollica,10.0
Original Nuts & Seeds imp,Lizi's,12.5
Thon entier au naturel Albacore,Petit Navire,25.0
Chocolat Bio noir 85%,Côte d'Or,10.0
NESTLE LION céréales 400g​,"Nestlé, Lion",8.1
Bio Knusper Müsli Früchte,"Crownfield,Lidl",9.7
Mozzarella,Lidl,17.5
Crunchy oats and honey,Nature Valley,8.7
Beanz in a rich tomato sauce,Heinz,9.7
Choco Pudding,Milbona,12.5
Filets de Maquereaux à la moutarde,Saupiquet,11.0
Filets de maquereaux grillés natures,Saupiquet,18.0
Tempeh,The Tofoo Company,14.9
Baked Beans,Corale,17.6
Crunchy Peanut Butter,Maribel,28.5
Pane Pugliese,Crosta & Mollica,8.9
Baker Street Seeded Rye Bread,Baker Street,8.5
HIGH PROTEIN Mousse Schoko,Milbona,17.5
Smooth Peanut Butter,Maribel,29.2
Shreddies,Nestle,10.8
Nocciolata crunchy,Rigoni di Asiago,8.7
Malted Bloomer,Village Bakery,8.5
Multigrain Alpha Bites,Bear,9.3
Pâte à tartiner cacahuètes et cacao,Bonne Maman,12.0
4 Baguettes viennoises 340g,La Boulangère,9.7
Cereal Mix,Hacendado,9.4
Sauce soja,"Kikkoman, Kikkoman - Kikkoman K.K.",10.0
TUC Original,"Mondelez,Tuc",8.3
Filet de poulet 🐔 rôti,Fleury Michon,23.0
Muesli Protéines,bjorg,21.0
Muesli 4 nuts,Crownfield,10.3
Authentic Tofu,Cauldron,13.0
Graze Marmite Crunch,Graze,15.0
Crunchy Peanut Butter,Grandessa,28.5
Quinoa Gourmand,Tipiak,14.0
Granola Amandes Noisettes & Graines,Jordans,12.6
Crownfield Special Flakes Red Fruit,"Crownfield, Lidl",8.9
Muesli pépites croustillantes chocolat-noissette réduit en sucre,"Marque Repère, Grainéa",10.0
Marinated Tofu,Cauldron,18.0
Seeded Sourdough,Bertinet Bakery,9.5
Whole Chia Seeds,The Foodie Market,17.0
HIGH FIBRE CREAM CRACKERS,"Jacob's, Jacobs",9.2
Barbecue,Proper,9.7
Biscottes Complètes bio,Carrefour,12.0
Rillettes de poulet rôti,Bordeau chesnel,15.1
petit billy,petit billy,12.0
Brioche tranchée à la crème fraîche,La Fournée Dorée,8.3
Maggi Würze,MAGGI,9.8
Atún claro en aceite de oliva,Hacendado,21.0
Kinder Riegel Einzelpackung,"Ferrero,Kinder",8.7
Country Crisp with Sun-Ripe Strawberries imp,Jordans,8.1
Mighty Yeast Extract with added vitamins,Grandessa,39.4
unsmoked back bacon rashers,naked bacon,29.4
Le Bloc,La vache qui rit,17.0
2 Stonebaked Baguettes,Aldi,11.3
Sliced White Sourdough Bread with Protein,Jason's Sourdough,11.8
Cabillaud sauce Citron riz aux petits légumes,Marie,8.6
HERTA LE BON PARIS Jambon à l'étouffée x4 -170g,"HERTA, Le Bon Paris",21.0
Mince,Quorn,13.0
Chocolat noir Bio 70%,"Côte d'Or,Mondelez International",9.1
