product_name,brand,sugars
Pâte à tartiner aux noisettes,Mejora,61.0
Prince goût tout Choco au blé complet,LU,34.0
Chocolat Noir - l'Original,Côte d'Or,53.5
Biscoff Crunchy Pâte À Tartiner,Lotus,36.2
Double Trouble Chocolate Cookies,Wicked Kitchen,31.1
,Pipas de la casa,895.0
300G DRAGIBUS SOFT HARIBO,Haribo,56.0
Runny Honey,Sainsbury's,80.8
Нутела,Ferrero,56.3
NESTLE DESSERT Pâte à tartiner 340g,"Nestlé, NESTLE DESSERT",52.0
Bonne Maman Strawberry And Wild Strawberry 370G,Bonne Maman,59.0
Confiture Framboises,Bonne Maman,57.0
Pâte à tartiner 40% noisettes du Lot-et-Garonne et cacao,Lucien Georgelin,48.0
Nutella B-ready,"Ferrero,Nutella b-ready",47.1
Tartelettes citron,Bonne Maman,41.0
Profil pack pure canne bio kraft daddy 750g,Daddy,100.0
Chocolat noir pâtissier,Nestlé,46.4
Nocilla original,Nocilla,56.0
200G CHOC LAIT COTE D OR,"Côte d’or, Mondelez",55.0
Lyle's Golden Syrup,Abram Lyle & Sons,79.0
Raw Fruit & Nut Bars - Salted Caramel,nākd,52.0
Confiture de figue,,47.1
Hazelnut Based Chocolate Spread,Alter Eco,51.0
BLE 70CL DELICES AGRUMES PULCO,Pulco,34.4
Blossom Honey,Hilltop Everyday,76.0
Black Forest cherry dark chocolate,Montezuma's,31.0
Prince -  Goût Lait -  Choco Au Blé Compet,LU,34.0
Confiture Fraises,Bonne Maman,59.0
Yoyos Strawberry Multipack 5 x,BEAR,42.0
Crêpes dentelle - L'authentique,Gavottes,48.0
Miel de fleurs crémeux,"Lidl, Maribel",75.1
L'Original noir,"Côté d'Or, Mondelez",53.0
,Nesquik,74.7
predator,,57.0
LOTUS BISCOFF Speculoos Fourré - Crème Speculoos - 150g,Lotus,35.0
Cake fourré saveur fraise,"Allergo, Gerblé, Look",31.0
Chocolate Orange Milk,Terry's,59.0
Strawberry High Fruit Content Spread,St. Dalfour,47.0
Sweetened Condensed Milk,Nestlé,55.0
Bournville Dark Chocolate bar,Cadbury,58.0
Confiture fruits rouges intenses,Bonne Maman,39.0
Vinaigre Balsamique,Maille,32.0
"Grany moelleux, fruit des bois","Lu, Mondelez",35.0
Nutella,Ferrero,56.3
230G VICHY MENTHE,Vichy,98.5
Nuss-Nougat-Creme,Bionella,40.0
Frosties,Kellogg's,37.0
Sucre de glace,Daddy,98.0
Oreo Double Creme,"Mondelez, Oreo",40.0
Trancetto Cacao,Balconi,34.0
TSR MENTHE VERTE 60 CL,Teisseire,71.0
Ferrero Rocher,Ferrero,39.9
Organic Honey,Rowse,80.8
Bear Pure Fruit Yoyos Strawberry 20G,"Bear, Bear Nibbles",42.0
Nutella,Ferrero,56.3
Mars,Mars,31.0
Biscuit chocolat noir,Gerblé,34.0
Sucre Cassonade,Saint louis,99.0
Fourrés vanille bio,Bjorg,31.0
Chamallow,Haribo,68.0
Knusper Schnitte,Sondey,33.9
Nutella,"Ferrero,Nutella",56.3
Light & Mild Honey,Rowse,80.8
Cassonade pure canne,"Marque Repère, Tablier Blanc",99.0
Branston Original Pickle,Branston,31.0
Pâte à tartiner,"Carrefour BIO, Carrefour",58.0
Brossard le cake à l'anglaise,Brossard,37.0
Sucre en poudre,Daddy,100.0
"Biscuits Nutella x3 biscuits fourrés - 41,4g",Nutella,35.8
100% issu des fruits fraise,ANDROS,36.0
,,38.5
Délichoc Noir,Delacre,39.2
Dunkle Voll-Nuss,RITTER SPORT,37.0
Crema Novi Haselnusscreme,Novi,40.7
Wafers Bfb Hazelnut,Balconi,32.0
Milka,Milka,53.0
54% cocoa dark milk chocolate bar,Marks & Spencer,36.4
Hohos,,40.0
Mars,"Mars, Mars Wrigley",61.6
LOTUS BISCOFF Speculoos Fourré - Crème saveur Chocolat - 150g,Lotus,41.0
Mikado,LU,34.0
Sucre de Fleur de Coco Bio,Daddy,90.0
Myrtille Intense,Bonne Maman,39.0
Prince Goût Vanille,Lu,35.0
Excellence Noir Sésame Grillé,Lindt & Sprüngli,45.0
