product_code,product_name,brand,energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,fruits_veg_nuts,nutrition_score_fr,nova_group,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
7613035833302,Perrier fines bulles,"Nestlé, Nestlé Waters, Perrier",,,,,,,,,,,0.0,0.0,4.0,,Unknown,Unknown,Yes
5014067133804,Natural Proper Organic Bio Live Yeogurt,Yeo Valley,,344.0,6.5,6.5,4.2,2.7,4.6,0.0,0.1778,0.07112,0.0,3.0,1.0,1.0,Unknown,Low Sugar,No
6111245591049,dalaa,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6118000191032,Rhumix,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
42207269,,Beiersdorf,,,,,,,,,,,,,,,Unknown,Unknown,No
144435502828,,,,,,,,,,,,,,,1.0,,Unknown,Unknown,No
7613034579102,PERRIER eau minérale naturelle gazeuse,PerrierNestlé WatersNestlé,,,,,,,,,24.0,9.6,0.0,0.0,,,Unknown,Unknown,No
6221007032526,Cerelac,nestle,,,,0.0,,0.0,,,,,0.0,,,,Unknown,Low Sugar,No
6111037000643,MARG FAMILIA 400G,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111031005408,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111203003263,Fromage,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111126003333,Raibi grenadine,Chergui,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111259733770,,,,,,,,,,,,,,,,,Unknown,Unknown,No
4056489620860,Crunchy Peanut Butter,Maribel,,2510.0,12.1,5.8,47.9,6.6,27.0,9.1,0.01,0.004,100.0,-8.0,1.0,0.48,Unknown,Low Sugar,No
6111248360109,Ain Soltan,,,,,,,,,,10.0,4.0,,0.0,1.0,,Unknown,Unknown,No
16756168,Chocolat au lait feuilleté caramel,Poulain,,,,,,,,,,,11.4375,,4.0,,Unknown,Unknown,Yes
6111242071995,yogo banan,Extralait,,,,,2.0,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
5449000318473,coca-cola,Coca-Cola,,,,,,,,,,,,,,,Unknown,Unknown,No
6111260231548,slice burger viva,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111263900243,,,,,,,,,,,,,,,,,Unknown,Unknown,No
1230739,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6221048407796,signal,,,,,,,,,,,,,,,,Unknown,Unknown,No
8004172132844,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111266962583,Luncheon splendida,Copag,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111035503115,vitalya,vitalya,,,,,,,,,,,0.0,0.0,,,Unknown,Unknown,No
6111245598758,,,,,,,,,,,,,,,,,Unknown,Unknown,No
144435000430,,,,,,,,,,,,,,0.0,1.0,,Unknown,Unknown,No
3302740025136,ZERO NITRITE - LE SUPERIEUR,Fleury Michon,,490.0,0.7,0.7,2.8,1.0,22.0,,2.0,0.8,14.9625,8.0,4.0,1.0,Unknown,Low Sugar,Yes
8020141800002,Acqua minerale naturale Sant'Anna,Sant'Anna,,,,,,,,,3.75,1.5,0.0,0.0,1.0,,Unknown,Unknown,No
7613036077514,GOLD BLEND Instant Coffee,Nescafé,,,,,,,,,,,0.0,,1.0,,Unknown,Unknown,No
