brand,product_code
"CF&R, Cœur de Lion, Savencia",1
"CF&R, RichesMonts, Savencia",1
"CF&R,Cœur de Lion,Savencia",1
"CHABRIOR, Top budget",1
CHERGUI,6
"CHOCOQUIK, Güldenhof",1
CHOLULA,1
"CMI (Carrefour Marchandises Internationales), Carrefour, Carrefour Original, Groupe Carrefour",1
"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",2
CO OP,1
"COCA-COLA, FuzeTea",1
COOPERATIVE ISIGNY SAINTE MÈRE,1
COSUMAR,1
CRF,1
CROWNFIELD,3
"CRUSTI CROC, EL TEQUITO, SnackDay",1
CUVECO AS,1
"CUVECO AS, Fever-Tree",1
"CVC Capital Partners, Continental Foods, Liebig",1
"CVC Capital Partners, Continental Foods, Royco",2
Cachet,2
Cacolac,1
Cadbury,17
"Cadbury, Fingers",1
Cafés Méo,1
"Calbee, Harvest Snaps",1
Caldas de Penacova,1
Califia Farms,2
"Calin 0%, Yoplait",1
"Calin, Yoplait",1
"Calin,Calin standard,Yoplait",1
Calvé,7
Campagne de France,1
Campagne de France - La Coopérative Latière,1
Campo Largo,2
Campo Verde,1
"Campo largo, Freshona",1
Campofrío,1
Canada Dry,1
Canderel,2
"Canderel, Merisant",1
Candia,6
"Candia, Lacteor, Sodiaal",1
"Candia,Sodiaal",1
Candy Kittens,3
Cap Océan,1
"Cap RoussetFerrigno, Ferrigno",1
"Cappuccino, Gold cappuccino, Nescafé",1
"Cappy, Coca-Cola",1
"Capri-Sonne, Capri-Sun",1
Capri-Sun,1
"Caprice Des Dieux, Savencia",1
Caprice des Dieux,1
"Caprice des Dieux, Savencia",1
Carambar,1
Carapelli,8
Cardella,2
Carlotti,2
Carotino,1
Carpatica,1
Carr's,3
Carrefour,146
Carrefour BIO,7
"Carrefour BIO, Carrefour",63
"Carrefour BIO, Carrefour, Groupe Carrefour",1
"Carrefour BIO, Carrefour, Interdis",1
"Carrefour BIO,Carrefour",17
Carrefour BioCarrefour,1
Carrefour Classic,1
Carrefour Classic',1
Carrefour Original,1
Carrefour Sensation,1
"Carrefour, Carrefour Classic",3
"Carrefour, Carrefour Classic'",1
"Carrefour, Carrefour Kids",1
"Carrefour, Carrefour Sensation",1
"Carrefour, Carrefour Sensation Carrefour",1
"Carrefour, Carrefour Sélection",1
"Carrefour, Carrefour Veggie",1
"Carrefour, Carrefour-classic",2
"Carrefour, Groupe Carrefour",2
"Carrefour, Interdis",1
"Carrefour, Reflets de France",6
"Carrefour, Reflets de FranceBazin André",1
"Carrefour, Simpl",4
"Carrefour, Xtrem",1
"Carrefour,Carrefour Classic",1
"Carrefour,Carrefour Extra",2
"Carrefour,Carrefour Original",1
"Carrefour,Carrefour Veggie",1
"Carrefour,Selection Carrefour",1
"Carrefour,Simpl",5
Carte D'Or,1
"Carte D'or, Les Essentiels",1
"Carte Noire, Lavazza",1
Casa Azzurra,3
"Casa Azzurra, Cipf Codipal",1
"Casa Azzurra,Cipf Codipal",1
Casa Tarradellas,2
Casa azzurra,1
"Casa azzurra, Granarolo",1
"Casino, Casino Bio",1
Cassegrain,26
Castello,2
"Catania,Zespri",1
"Caterers pride, Tesco",1
Cathedral City,7
Cauldron,5
Cauvin,5
Cawston Press Rhubarb,1
Cebon,1
"Cebon, El Mordjene®",1
"Celebrations, Mars",1
Cem Porcento,1
Central Danone,1
Central Lechera Asturiana,5
Centrale,1
Centrale Danone,3
"Centrale, Danone, Jebli",1
Cereal Bio,2
Cereal bio,2
Cerebos,1
Certossa,1
Cesar Moroni,1
Cevital,1
"Cfr fleurette, Yoplait",2
"Cfr yoplait, Yoplait",1
Chabrior,16
"Chabrior, Chabrior Bio",1
"Chabrior, Faissole, Intermarché",1
"Chabrior, Intermarché",6
"Chabrior, Intermarché, Les creations",1
"Chabrior, Les creations",1
"Chabrior, Regain",2
"Chabrior, intermarché",1
"Chabrior,Sélection Intermarché",1
Chakrabor,1
Champomy,1
ChanteSel,1
Chantesel,1
Chaokoh,1
Chaouen,1
Charal,3
"Charbonnel et Walker, GINBIS, Mondelez, Oreo, Oreo - Mondelēz International",1
Charles & Alice,6
Charles Vignon,2
Charlie Bigham's,3
Charlie Binghams,1
"Chaussee aux moines, Lactalis",1
Chavroux,1
Cheerios,1
Cheerios Multigrain,1
"Cheerios,Nestle",1
Cheetos,7
Chef Gourmand,1
Chef Select,3
"Chef Select, Lidl",1
Chergilui,1
Chergui,49
Chio,2
Chips Ahoy!,1
"Chiquilin,Artiach",1
Chira,1
Chobani,3
"Chocapic,Nestlé",1
"Choco Nussa,Lidl",1
Choco nussa,1
Chocolate,1
Chocolove,1
Cholula,1
Chomps,1
Chop Stick,1
Chosen Foods,2
Chovi,1
"Chêne D'argent,Duc de coeur",1
"Chêne d'Argent, Duc de coeur",1
"Chêne d'Argent, Lidl",2
Chêne d'argent,2
"Chêne d'argent, Lidl",2
"Chêne d’Argent, Duc de Coeur",1
Chêne d’argent,1
Ciel,3
Cirio,1
"Cirio, Cirio - Conserve Italia Soc. Coop. Agricola",1
"Cirio, Cirio La polpa rustica",1
"Cité Marine, Lidl",1
Cité marine,1
Clarks,1
Classic,1
Clay Oven Bakery,1
"Cleaning, Pink Stuff",1
Clearspring,1
Clement Faugier,1
Clif Bar,1
Clipper,5
Clorets,1
Clover,3
"Club Mate,Loscher",1
Clément Faugier,1
Co Op,1
"Co Op, Coop",1
Co-op,1
Coca Cola,4
"Coca Cola,Coke",1
Coca cola,2
Coca-Cola,57
Coca-Cola Company,3
"Coca-Cola Company, Coca-Cola",1
"Coca-Cola, Coca-Cola Company",1
"Coca-Cola, Coca-Cola company, The Coca Cola Company",1
"Coca-Cola, Coca-Cola-light",1
"Coca-Cola, Diet Coke, The Coca-Cola Company, Tiffin Sandwiches",1
"Coca-Cola, Minute Maid",1
"Coca-Cola, Nestea",1
"Coca-Cola, Powerade",1
"Coca-Cola, coca",1
"Coca-Cola,Aquarius",1
"Coca-Cola,Coca-Cola Company",2
"Coca-Cola,Coke",1
Coca-Cola®,1
Cofresh,1
Coke ZÉRO®,1
Cola Cao,1
ColaCao,3
ColaCaoIdilia Foods,1
Colacao,1
Colaimo Le lait,1
Colman's,3
"Colman's,Unilever",1
Colmans,1
Colman’s,2
Combino,6
"Combino, Lidl",3
"Combino, Lidl, Vitasia",1
"Combino,La Doria",1
"Combino,Vitasia,Vitasia China,Vitasia Chinese Style",1
Cometino,1
"Compagnie Générale De Conserve, Sultanines",1
Compagnie des Pyrénées,1
Compagnie des Pêches Saint-Malo,2
"Conaxess trade norway, Storck",1
"Confetteria Raffaello,Ferrero",1
"Confetteria raffaello, Ferrero",1
Confipote,1
"Confiserie Firenze, Kuchenzauber Lidl, Kuchenzauber",1
"Congo Brands, Prime",1
Conikos,1
"Conikos,LeaderFood",1
Connetable,2
Connétable,18
Conserverie Parmentier,1
Contrex,2
"Cookie crisp,Nestlé",1
Coop,14
Coop Irresistible,1
Copag,1
Copella,1
Coppenrath Feingebäck GmbH,1
Coral,1
Corale,1
Coraya,3
Core Power,1
Corny,2
"Corny, Schwartau",1
"Corny,Schwartau",1
Corona,2
Costa,1
Costa Coffee,1
Costa d'Oro,2
Country Life,2
Courmayeur,2
Covent Garden,1
Covent Garden Soup Co,1
Cowbelle,3
Cravendale,1
"Cravendale, Duracell, Tesco",1
Crealine,1
Cream cheese,1
Creamfields,4
Cremio,1
Crf,1
Crisp -n Dry,1
Cristaline,10
Cristim Salam Sasesc,1
Croco,1
"Cross & Blackwell, King British",1
Crosta & Mollica,14
Crosta & mollica,1
